pfam_id	pfam_description
PF24580	Domain of unknown function (DUF7607)
PF24581	Domain of unknown function (DUF7608)
PF24582	Domain of unknown function (DUF7609)
PF24583	Domain of unknown function (DUF7610)
PF24584	CYK3 C-terminal Ig-like domain
PF24585	YunG protein
PF24586	Domain of unknown function (DUF7611)
PF24587	Domain of unknown function (DUF7612)
PF24588	Domain of unknown function (DUF7613)
PF24589	Domain of unknown function (DUF7614)
PF24590	Domain of unknown function (DUF7615)
PF24591	Phage YunG-like protein
PF24592	Family of unknown function (DUF7616)
PF24593	Domain of unknown function (DUF7617)
PF24594	Family of unknown function (DUF7618)
PF24595	Domain of unknown function (DUF7619)
PF24596	Family of unknown function (DUF7620)
PF24597	DOP1 middle TPR domain
PF24598	DOP1 C-terminal
PF24599	Family of unknown function (DUF7621)
PF24600	RavZ catalytic domain
PF24601	DOP1 TPR domain
PF24602	Domain of unknown function (DUF7622)
PF24603	Tetratricopeptide repeat
PF24604	PelB, C-terminal beta barrel domain
PF24605	CEMIP domain X
PF24606	CEMIP beta-helix
PF24607	Arabinofuranosyltransferase D, third carbohydrate binding module
PF24608	Phage putative PDDEXK endonuclease
PF24609	SCN5A-like, C-terminal IQ motif
PF24610	Domain of unknown function (DUF7623)
PF24611	Nuclear anchorage protein 1, spectrin-like repeat
PF24612	TgrO1-like, immunoglobulin-like domain
PF24613	Cadherin-related hmr-1, EGF domain
PF24614	Transposon Tf2-1 polyprotein, C-terminal
PF24615	Nuclear anchorage protein 1, spectrin repeat
PF24616	Domain of unknown function (DUF7624)
PF24617	POF1B helix-loop-helix domain
PF24618	Listerin HEAT repeat region
PF24619	SibA-like, immunoglobulin-like domain
PF24620	Domain of unknown function (DUF7625)
PF24621	3-dehydroquinate synthase C-terminal
PF24622	Tape measure protein domain
PF24623	Putative DNA-binding phage zinc finger domain
PF24624	Phage integrase, N-terminal domain
PF24625	Domain of unknown function (DUF7626)
PF24626	Tf2-1-like, SH3 domain
PF24627	PUMA coiled-coil
PF24628	Repeat of unknown function (DUF7627)
PF24629	Signal transducer and activator of transcription b N-terminal
PF24630	TASOR PIN domain
PF24631	Domain of unknown function (DUF7628)
PF24632	Domain of unknown function (DUF7629)
PF24633	Domain of unknown function (DUF7630)
PF24634	Domain of unknown function (DUF7631)
PF24635	Domain of unknown function (DUF7632)
PF24636	Domain of unknown function (DUF7633)
PF24637	DEAH11 RRM domain
PF24638	DEAH11 eukaryotic type KH-domain
PF24639	Domain of unknown function (DUF7634)
PF24640	Domain of unknown function (DUF7635)
PF24641	DEAH11 eukaryotic type KH-domain
PF24642	Domain of unknown function (DUF7636)
PF24643	Domain of unknown function (DUF7637)
PF24644	Domain of unknown function (DUF7638)
PF24645	Domain of unknown function (DUF7639)
PF24646	Domain of unknown function (DUF7640)
PF24647	Phage blade protein
PF24648	Domain of unknown function (DUF7641)
PF24649	Domain of unknown function (DUF7642)
PF24650	Tal, N-terminal tail tube TT1 domain
PF24651	Domain of unknown function (DUF7644)
PF24652	Centrosomal protein of 76 kDa C-terminal domain
PF24653	Cyanophage outer membrane protein like beta barrel domain
PF24654	CEP76 N-terminal domain
PF24655	Domain of unknown function (DUF7645)
PF24656	CEP76 peptidase-like domain
PF24657	Domain of unknown function (DUF7646)
PF24658	Domain of unknown function (DUF7647)
PF24659	Domain of unknown function (DUF7648)
PF24660	GPI inositol-deacylase beta-sandwich domain
PF24661	Domain of unknown function (DUF7649)
PF24662	Domain of unknown function (DUF7650)
PF24663	Domain of unknown function (DUF7651)
PF24664	Viral fusion glycoprotein
PF24665	Domain of unknown function (DUF7652)
PF24666	Fungal C2H2 zinc finger
PF24667	Dynein regulatory complex subunit 7 MORN domain
PF24668	Vigilin KH domain
PF24669	Ddi2 HDD domain
PF24670	Domain of unknown function (DUF7653)
PF24671	Dynein regulatory complex subunit 7 C-terminal
PF24672	Domain of unknown function (DUF7654)
PF24673	Divisome-associated membrane protein Blr family
PF24674	SNTX, MACPF/CDC-like domain
PF24675	16S rRNA (adenine(1408)-N(1))-methyltransferase
PF24676	Domain of unknown function (DUF7656)
PF24677	Domain of unknown function (DUF7657)
PF24678	Domain of unknown function (DUF7658)
PF24679	Nodulin C-terminal domain
PF24680	Hsr-9 Tudor domain
PF24681	KLHDC2/KLHL20/DRC7 Kelch-repeats domain
PF24682	RRP5 OB-fold domain
PF24683	CT021 protein
PF24684	Virginiamycin B lyase family
PF24685	RRP5 OB-fold domain
PF24686	Fluoroquinolones export permease protein family
PF24687	Type III Secretion system protein OrgC
PF24688	SseK/NleB family
PF24689	Immunity protein TriTu
PF24690	NTCP5/P3 N-terminal domain
PF24691	TreTu toxin, C-terminal domain
PF24692	Family of unknown function (DUF7659)
PF24693	Family of unknown function (DUF7660)
PF24694	PITM 1-3, LNS2 domain
PF24695	PITM 1-3, beta-sandwich domain
PF24696	UGSC family
PF24697	Domain of unknown function (DUF7661)
PF24698	Domain of unknown function (DUF7662)
PF24699	Domain of unknown function (DUF7663)
PF24700	Vein beta-barrel
PF24701	Domain of unknown function (DUF7664)
PF24702	Bacterial E2-like ubiquitin protein BilB
PF24703	Domain of unknown function (DUF7666)
PF24704	Family of unknown function (DUF7667)
PF24705	Domain of unknown function (DUF7668)
PF24706	Domain of unknown function (DUF7669)
PF24707	Swc3
PF24708	Lipase-like, C-terminal domain
PF24709	Domain of unknown function (DUF7670)
PF24710	Family of unknown function (DUF7671)
PF24711	YxiG-like protein
PF24712	YxiG-like protein
PF24713	TORTIFOLIA1 C-terminal
PF24714	TORTIFOLIA1 N-terminal
PF24715	YxiF protein
PF24716	Immunity protein WapI-like family
PF24717	Family of unknown function (DUF7672)
PF24718	HTH-like domain
PF24719	Imm33-like domain
PF24720	Family of unknown function (DUF7673)
PF24721	Half a barrel family
PF24722	Domain of unknown function (DUF7674)
PF24723	Family of unknown function (DUF7675)
PF24724	Family of unknown function (DUF7676)
PF24725	Domain of unknown function (DUF7677)
PF24726	Domain of unknown function (DUF7678)
PF24727	Domain of unknown function (DUF7679)
PF24728	Domain of unknown function (DUF7680)
PF24729	Acb2/Tad1, hairpin domain
PF24730	Zinc-binding Domain of unknown function (DUF7682)
PF24731	Domain of unknown function (DUF7683)
PF24732	ParE-like toxin domain
PF24733	Domain of unknown function (DUF7684)
PF24734	Domain of unknown function (DUF7685)
PF24735	Domain of unknown function (DUF7686)
PF24736	Domain of unknown function (DUF7687)
PF24737	Domain of unknown function (DUF7688)
PF24738	Domain of unknown function (DUF7689)
PF24739	Domain of unknown function (DUF7690)
PF24740	Domain of unknown function (DUF7691)
PF24741	AlkZ related
PF24742	CUL7/CUL9 ARM repeat domain
PF24743	Domain of unknown function (DUF7692)
PF24744	CARF-associated HTH
PF24745	Domain of unknown function (DUF7693)
PF24746	Domain of unknown function (DUF7694)
PF24747	GIR1-like zinc ribbon domain
PF24748	Galaxin-like repeats
PF24749	Domain of unknown function (DUF7695)
PF24750	F-box protein At3g26010-like, beta-propeller
PF24751	Family of unknown function (DUF7696)
PF24752	Family of unknown function (DUF7697)
PF24753	Domain of unknown function (DUF7698)
PF24754	Macrodomain effector MavL
PF24755	SpoVR-like C-terminal domain
PF24756	CWZF3-5-7 THD domain
PF24757	ASCIZ first and second C2H2 zinc finger domains
PF24758	FBD-associated F-box protein At5g56370, LRR repeats
PF24759	ASCIZ third C2HC zinc finger domain
PF24760	IF140 C-terminal TPR domain
PF24761	ASCIZ forth C2H2 zinc finger domain
PF24762	IF140/IFT172 TPR domain
PF24763	CGL160, C-terminal
PF24764	Integrase core domain
PF24765	SAC9 C-terminal domain
PF24766	Domain of unknown function (DUF7699)
PF24767	At5g58720 UBA-like domain
PF24768	ARMC5
PF24769	At2g29880 C-terminal domain
PF24770	CFAP74 second Ig-like domain
PF24771	CFAP74 first Ig-like domain
PF24777	Domain of unknown function (DUF7700)
PF24778	CFAP74 third Ig-like domain
PF24779	UTP23 sensor motif
PF24780	MABP1/WDR62 first WD40 domain
PF24781	FANCA helical domain
PF24782	MABP1/WDR62 second WD40 domain
PF24783	FANCA arcN subdomain
PF24784	Temptin C-terminal
PF24785	RXYLT1 C-terminal domain
PF24786	RXYLT1 N-terminal domain
PF24787	Testis-expressed protein 47
PF24788	AtPDCT1/2
PF24789	SAC9 second GBDL domain
PF24790	SAC9 first GBDL domain
PF24791	SAC9 C8D domain
PF24792	Domain of unknown function (DUF7701)
PF24793	Glucosamine inositolphosphorylceramide transferase 1, N-terminal
PF24794	Duc1 FFAT-like motif
PF24795	WRD62/MABP1 coiled-coil
PF24796	WDR55
PF24797	WDR35/TULP4 N-terminal
PF24798	CFAP74 forth Ig-like domain
PF24799	Partner of xrn-2 protein 1-like, C-terminal domain
PF24800	Domain of unknown function (DUF7702)
PF24801	Tip attachment protein J,FNIII-A domain
PF24802	Domain of unknown function (DUF7703)
PF24803	Domain of unknown function (DUF7704)
PF24804	Domain of unknown function (DUF7705)
PF24805	EIF3I
PF24806	Family of unknown function (DUF7706)
PF24807	CDC20/Fizzy WD40 domain
PF24808	Domain of unknown function (DUF7707)
PF24809	Domain of unknown function (DUF7708)
PF24810	Leucine--tRNA ligase, RagD-binding domain
PF24811	DE-cadherin, Ig-like domain
PF24812	TTC3-like, winged helix turn helix domain
PF24813	Domain of unknown function (DUF7709)
PF24814	Prp19 WD40 domain
PF24815	WDHD1 HMG box
PF24816	Cilia- and flagella-associated protein 65-like, Ig-like domain
PF24817	WDHD1 first WD40 domain
PF24818	TRF2/HOY1 PH-like domain
PF24819	Domain of unknown function (DUF7710)
PF24820	Diguanylate cyclase-like sensor domain
PF24821	Domain of unknown function (DUF7711)
PF24822	Family of unknown function (DUF7712)
PF24823	RDR2 PH-like domain
PF24824	FACT complex subunit SPT16 PH-like domain
PF24825	SNU71 RNA binding domain
PF24826	SNU71 N-terminal
PF24827	Succinylglutamate desuccinylase/Aspartoacylase catalytic domain
PF24828	Domain of unknown function (DUF7713)
PF24829	Phage connector protein
PF24830	Family of unknown function (DUF7714)
PF24831	Domain of unknown function (DUF7715)
PF24832	Domain of unknown function (DUF7716)
PF24833	Rhabdovirus spike glycoprotein G central domain
PF24834	Rhabdovirus glycoprotein G PH domain
PF24835	Family of unknown function (DUF7717)
PF24836	NqrA second alpha/beta domain
PF24837	AMIN-like domain
PF24838	Octameric membrane protein family (8xMP)
PF24839	Domain of unknown function (DUF7718)
PF24840	SigF NTF2-like domain
PF24841	Domain of unknown function (DUF7719)
PF24842	Ubiquitin fusion degradation protein UFD1, N-terminal subdomain 2
PF24843	Family of unknown function (DUF7720)
PF24844	DNA polymerase II large subunit DP2, central domain
PF24845	Domain of unknown function (DUF7721)
PF24846	DNA polymerase II large subunit DP2, catalytic domain
PF24847	Domain of unknown function (DUF7722)
PF24848	Family of unknown function (DUF7723)
PF24849	Domain of unknown function (DUF7724)
PF24850	Bacillithiol biosynthesis BshC, C-terminal coiled-coil domain
PF24851	Domain of unknown function (DUF7725)
PF24852	Domain of unknown function (DUF7726)
PF24853	Domain of unknown function (DUF7727)
PF24854	Domain of unknown function (DUF7728)
PF24855	Domain of unknown function (DUF7729)
PF24856	L-arabinose isomerase central domain
PF24857	Threonine synthase, C-terminal
PF24858	Alkylglycerol monooxygenase C-terminal domain
PF24859	FdhE, central domain
PF24860	FdhE, C-terminal domain
PF24861	Sucrose synthase N-terminal
PF24862	Sucrose synthase EPBD domain
PF24863	Mcm10, CCCH-type zinc motif
PF24864	Domain of unknown function (DUF7730)
PF24865	Domain of unknown function (DUF7731)
PF24866	Domain of unknown function (DUF7732)
PF24867	Domain of unknown function (DUF7733)
PF24868	YABBY, N-terminal
PF24869	Domain of unknown function (DUF7734)
PF24870	Domain of unknown function (DUF7735)
PF24871	Piezo TM1-24
PF24872	DUF2110 N-terminal domain
PF24873	DUF2110 C-terminal domain
PF24874	Piezo, THU9 and anchor domain
PF24875	Domain of unknown function (DUF7736)
PF24876	PA4575-like protein
PF24877	Dihydroxy-acid/6-phosphogluconate dehydratase C-terminal
PF24878	Putative mannosyltransferase YkcB-like, C-terminal
PF24879	Domain of unknown function (DUF7737)
PF24880	Domain of unknown function (DUF7738)
PF24881	Domain of unknown function (DUF7739)
PF24882	ORC2 WHD
PF24883	Nephrocystin 3, N-terminal
PF24884	Nephrocystin 3, helical domain
PF24885	Nephrocystin-3 TPR domain
PF24886	Domain of unknown function (DUF7740)
PF24887	Stabilin-1/2, EGF-like domain
PF24888	Domain of unknown function (DUF7741)
PF24889	WNK CCTL2 domain
PF24890	Allantoinase, composite domain
PF24891	Domain of unknown function (DUF7742)
PF24892	U3 small nucleolar RNA-associated protein 6 C-terminal
PF24893	Domain of unknown function (DUF7743)
PF24894	GlmU-like, C-terminal hexapeptide
PF24895	Nonribosomal peptide synthetase sidD N-terminal
PF24896	AHK4/CRE1/WOL first receiver domain
PF24897	Domain of unknown function (DUF7744)
PF24898	Cyclic-di-AMP phosphodiesterase GdpP-like, GGDEF domain
PF24899	ATP-dependent RNA helicase DHX29, UBA domain
PF24900	Zinc finger MYM-type protein 4-like, TRASH domain
PF24901	DNA replication licensing factor MCM7, winged helix
PF24902	NUP210, Ig-like domain 9
PF24903	MEIOB, N-terminal
PF24904	REVEILLE 6-like domain
PF24905	TTC3, helical domain
PF24906	WRKY19 zinc finger domain
PF24907	Integrin beta-like protein A-E, N-terminal
PF24908	Integrin beta-like protein A-E, second Ig-like domain
PF24909	Integrin beta-like protein A-E, vWA-like
PF24910	Integrin beta-like protein A-E, third Ig-like domain
PF24911	YfjL-like C-terminal domain
PF24912	TNRC18-like,(4.1.1) SH3
PF24913	Fungal AAA protein, C-terminal winged helix domain
PF24914	ACT domain-containing protein ACR10, N-terminal
PF24915	SESTD1-like, spectrin repeat
PF24916	Fungal GCN1-like, HEAT repeats
PF24917	Bridge-like lipid transfer protein family member 3A/B
PF24918	NET2A, C-terminal domain
PF24919	Meiotically up-regulated gene 62 protein-like domain
PF24920	Tricalbin-1-like, C2 domain
PF24921	E3 ubiquitin-protein ligase XB3/XBAT31 RING finger
PF24922	Acyl-CoA-binding domain-containing protein 4-6, C-terminal
PF24923	IQCH-like, ATP-grasp
PF24924	Domain of unknown function (DUF7745)
PF24925	Domain of unknown function (DUF7746)
PF24926	ACT domain-containing protein ACR9, C-terminal
PF24927	Domain of unknown function (DUF7747)
PF24928	Domain of unknown function (DUF7748)
PF24929	GlfB-like, C-terminal domain
PF24930	Domain of unknown function (DUF7750)
PF24931	ACR9-like, ACT-like domain
PF24932	Next to BRCA1 gene 1 protein-like, C-terminal UBA domain
PF24933	Domain of unknown function (DUF7751)
PF24934	Domain of unknown function (DUF7752)
PF24935	NUP210-like, Ig-like domain 6
PF24936	Domain of unknown function (DUF7753)
PF24937	Domain of unknown function (DUF7754)
PF24938	Domain of unknown function (DUF7755)
PF24939	Domain of unknown function (DUF7756)
PF24940	Dep-1 fifth Fn3-like domain
PF24941	Domain of unknown function (DUF7757)
PF24942	Dep-1 first Fn3-like domain
PF24943	Dep-1 second Fn3-like domain
PF24944	Domain of unknown function (DUF7758)
PF24945	Domain of unknown function (DUF7759)
PF24946	Dep-1 fourth Fn3-like domain
PF24947	Phosphoglucomutase-1, C-terminal domain
PF24948	ATP-citrate synthase ATP-grasp domain
PF24949	Domain of unknown function (DUF7760)
PF24950	Dep-1 sixth Fn3-like domain
PF24951	PAC1 LisH domain
PF24952	Domain of unknown function (DUF7761)
PF24953	Domain of unknown function (DUF7762)
PF24954	Domain of unknown function (DUF7763)
PF24955	DrmE-like N-terminal domain
PF24956	Mechanosensitive ion channel protein 2/3 C-terminal
PF24957	DISARM protein DrmE, C-terminal domain
PF24958	Domain of unknown function (DUF7765)
PF24959	FHOD1/3 FH3 domain
PF24960	Outer surface lipoprotein BB0158
PF24961	NfeD integral membrane domain
PF24962	Domain of unknown function (DUF7767)
PF24963	Domain of unknown function (DUF7768)
PF24964	Domain of unknown function (DUF7769)
PF24965	TRS130-like four helical bundle domain
PF24966	TR130 second Ig-like domain
PF24967	TR130 NTS domain
PF24968	Domain of unknown function (DUF7770)
PF24969	Leucine-rich repeat domain
PF24970	RUNKEL ARM-repeat domain
PF24971	SAMD1 small helical domain
PF24972	Attractin GBD-like
PF24973	Laminin/attractin EGF domain
PF24974	Domain of unknown function (DUF7771)
PF24975	Fungal Rad5 UBA-like domain
PF24976	Lipocalin domain
PF24977	Family of unknown function (DUF7772)
PF24978	Lrrd1 death domain
PF24979	EDAR death domain
PF24980	Response to Low Sulfur (LSU) family
PF24981	Attractin/LZTR1 beta-propeller
PF24982	Domain of unknown function (DUF7773)
PF24983	Domain of unknown function (DUF7774)
PF24984	Elongation factor 3/GNC1 HEAT repeat
PF24985	Domain of unknown function (DUF7775)
PF24986	RimM PRC barrel domain
PF24987	EF3 N-terminal HEAT repeat
PF24988	NEW1 helical bundle domain
PF24989	Domain of unknown function (DUF7776)
PF24990	ERT1/acuK family PAS domain
PF24991	NUP210 forth Ig-like domain
PF24992	Domain of unknown function (DUF7777)
PF24993	Stalled ribosome sensor GCN1 N-terminal
PF24994	GIL1/IRKI C-terminal domain
PF24995	dsRNA binding domain
PF24996	N-acetylneuraminate epimerase
PF24997	PSF1 C-terminal domain
PF24998	Domain of unknown function (DUF7778)
PF24999	Laminin subunit beta-4-like domain
PF25000	Domain of unknown function (DUF7779)
PF25001	Aegyptin, C-terminal domain
PF25002	Domain of unknown function (DUF7780)
PF25003	Domain of unknown function (DUF7781)
PF25004	Domain of unknown function (DUF7782)
PF25005	PSF2 N-terminal domain
PF25006	Domain of unknown function (DUF7783)
PF25007	Dynein axonemal heavy chain 2/5/8 coiled-coil
PF25008	Domain of unknown function (DUF7784)
PF25009	Domain of unknown function (DUF7785)
PF25010	UBP24/USP9X/USP9Y ARM repeat
PF25011	Vacuolar sorting receptor thioredoxin-like domain
PF25012	Family of unknown function (DUF7786)
PF25013	Zer-1-like, Leucine-rich repeats
PF25014	NET2A-like domain
PF25015	AKAP-17A-like, RNA-binding domain
PF25016	Pikachurin, EGF-like domain
PF25017	C2HC zinc finger
PF25018	Importin-9 central HEAT repeats
PF25019	R13L1/DRL21 LRRs
PF25020	Teneurin TTR-like domain
PF25021	Teneurin NHL domain
PF25022	Nephrocystin-3 domain
PF25023	Teneurin YD-shell
PF25024	Teneurin EGF domain
PF25025	Elongation factor Ts, mitochondrial, N-terminal
PF25026	Asd-4-like domain
PF25027	RECK-like, EGF-like 1 domain
PF25028	RECK, fibronectin type I module
PF25029	MOM1-like domain
PF25030	Serine/threonine-protein kinase ATR, M-HEAT region
PF25031	SBSPON-like, C-terminal
PF25032	Serine/threonine-protein kinase ATR, N-HEAT region
PF25033	VPS13-like family middle region
PF25034	Nesprin-1, spectrin repeats
PF25035	Nesprin-1 domain
PF25036	Vacuolar-sorting associated protein 13, adaptor binding domain
PF25037	Intermembrane lipid transfer protein VPS13, C-terminal
PF25038	Csf1 family C-terminal region
PF25039	BLTP1-like family middle region
PF25040	BLTP1-like family C-terminal region
PF25041	E3 UFM1-protein ligase 1 C-terminal domain
PF25042	Domain of unknown function (DUF7787)
PF25043	Domain of unknown function (DUF7788)
PF25044	Domain of unknown function (DUF7789)
PF25045	Ro60 vWA domain
PF25046	Domain of unknown function (DUF7790)
PF25047	TEP-1 second beta-propeller
PF25048	TEP-1 C-terminal beta-propeller
PF25049	3'-5' exoribonuclease HELZ2, OB-fold domain
PF25050	TARBP1 domain
PF25051	MCM8 winged helix domain
PF25052	Defensin-like family
PF25053	Domain of unknown function (DUF7791)
PF25054	PHD-type zinc finger
PF25055	Domain of unknown function (DUF7792)
PF25056	Domain of unknown function (DUF7793)
PF25057	Cuticlin N-terminal domain
PF25058	Tetratricopeptide repeat protein 21 ARM repeat
PF25059	DSCAM/DSCAML C-terminal Fn3-like domain
PF25060	Tetratricopeptide repeat protein 21 second ARM domain
PF25061	Fungal RNA-binding domain
PF25062	Tetratricopeptide repeat protein 21 N-terminal ARM repeat
PF25063	Tetratricopeptide repeat protein 21 C-terminal ARM domain
PF25064	TT21 fifth ARM repeats domain
PF25065	Med14 RM domain
PF25066	VPS8-like, TPR-like repeats
PF25067	Med14 RM domain
PF25068	Tetratricopeptide repeat protein 21 forth ARM domain
PF25069	Med14 C-terminal domain
PF25070	Domain of unknown function (DUF7794)
PF25071	Domain of unknown function (DUF7795)
PF25072	Domain of unknown function (DUF7796)
PF25073	Domain of unknown function (DUF7797)
PF25074	Domain of unknown function (DUF7798)
PF25075	Domain of unknown function (DUF7799)
PF25076	FHL2/3 N-terminal LIM domain
PF25077	Domain of unknown function (DUF7800)
PF25078	Domain of unknown function (DUF7801)
PF25079	COBRA family C-terminal domain
PF25080	RING zinc finger-like domain
PF25081	CC142 N-terminal
PF25082	GIPC1-3 GH2 domain
PF25083	GIPC1-3 GH1 domain
PF25084	EIF2B subunit epsilon LbH domain
PF25085	Domain of unknown function (DUF7802)
PF25086	Domain of unknown function (DUF7803)
PF25087	GMPPB C-terminal domain
PF25088	GPKOW C-terminal domain
PF25089	Domain of unknown function (DUF7804)
PF25090	Domain of unknown function (DUF7805)
PF25091	Domain of unknown function (DUF7806)
PF25092	KIN17 C-terminal SH3 domain
PF25093	Family of unknown function (DUF7807)
PF25094	PUS7L R3H domain
PF25095	KIN17 C2H2-type zinc finger domain
PF25096	Domain of unknown function (DUF7808)
PF25097	Cnot1 ARM repeat
PF25098	PEX18/PEX21 C-terminal domain
PF25099	Patellin-1-like, C-terminal GOLD domain
PF25100	Domain of unknown function (DUF7809)
PF25101	Animal spectrin repeats
PF25102	Family of unknown function (DUF7810)
PF25103	Domain of unknown function (DUF7811)
PF25104	Domain of unknown function (DUF7812)
PF25105	Family of unknown function (DUF7813)
PF25106	von Willebrand factor A domain
PF25107	VWA7 N-terminal domain
PF25108	YMR265C C-terminal domain
PF25109	Polynucleotide kinase PNKP phosphatase domain
PF25110	Separase-like, TPR repeats
PF25111	AtTam9 family
PF25112	AtTam37 zinc finger region
PF25113	Separase-like, TPR repeats
PF25114	AtTam38 family
PF25115	Agd3 deacetylase domain
PF25116	Agd3 CBM87
PF25117	Agd3 C-terminal domain
PF25118	Elongation factor-like GTPase 1-like domain
PF25119	Heparan sulfate-N-deacetylase, N-terminal domain
PF25120	Domain of unknown function (DUF7814)
PF25121	ESF1 RRM domain
PF25122	Domain of unknown function (DUF7815)
PF25123	SUPPRESSOR-OF-WHITE-APRICOT-like, C-terminal
PF25124	Domain of unknown function (DUF7816)
PF25125	Domain of unknown function (DUF7817)
PF25126	Domain of unknown function (DUF7818)
PF25127	Domain of unknown function (DUF7819)
PF25128	HRDE1/NRDE-3, N-terminal domain
PF25129	Pyr4-like transmembrane terpene cyclases
PF25130	Domain of unknown function (DUF7820)
PF25131	Large ribosomal subunit protein bL9m N-terminal domain
PF25132	TYW2 N-terminal domain
PF25133	TYW2 N-terminal domain
PF25134	Domain of unknown function (DUF7821)
PF25135	Domain of unknown function (DUF7822)
PF25136	Domain of unknown function (DUF7823)
PF25137	Fe-containing alcohol dehydrogenase family, C-terminal
PF25138	Phage head-tail joining protein
PF25139	Secreted LysM effector LysM14, C-terminal domain
PF25140	GPI inositol-deacylase transmembrane domain
PF25141	GPI inositol-deacylase beta-sandwich domain
PF25142	CDCP1 forth CUB domain
PF25143	IFT122, C-terminal zinc ribbon domain
PF25144	IFT122, zinc ribbon domain
PF25145	NfeD1b, N-terminal domain
PF25146	Vertebrate GH3, N-terminal domain
PF25147	Ribophorin_II, C-terminal domain
PF25148	Domain of unknown function (DUF7824)
PF25149	Domain of unknown function (DUF7825)
PF25150	Trm732, TPR repeats
PF25151	Trm732, C-terminal TPR repeats
PF25152	CD59 glycoprotein
PF25153	AP-5 complex subunit zeta-1, TPR repeats
PF25154	AP-5 complex subunit zeta-1, C-terminal TPR repeats
PF25155	YvbJ NTF2-like domain
PF25156	PNGase_A C-terminal domain
PF25157	Schizosaccharomyces Vps8, C-terminal domain
PF25158	ABC transporter A family member 11-like, C-terminal domain
PF25159	Repeat of unknown function (DUF7826)
PF25160	LdpA Fe-S cluster-binding domain
PF25161	Menorin C-terminal domain
PF25162	Domain of unknown function (DUF7827)
PF25163	E3 ubiquitin-protein ligase RNF31, UBA domain
PF25164	Competence protein CoiA, N-terminal domain
PF25165	Domain of unknown function (DUF7828)
PF25166	Competence protein CoiA, C-terminal domain
PF25167	Domain of unknown function (DUF7829)
PF25168	WDR36/Utp21 second beta-propeller domain
PF25169	Domain of unknown function (DUF7830)
PF25170	WD repeat-containing protein 35, TPR repeats
PF25171	WDR36/Utp21 first beta-propeller
PF25172	WDR3 second beta-propeller domain
PF25173	WDR3 first beta-propeller domain
PF25174	THOC3 beta-propeller domain
PF25175	WDR5 beta-propeller domain
PF25176	Family of unknown function (DUF7831)
PF25177	Talin VBS2 domain
PF25178	WDR41
PF25179	Lipase maturation factor C-terminal domain
PF25180	Phage antiviral trigger protein Gp54
PF25181	Bbp19-like phage protein
PF25182	Non-GDSL lipase-like family
PF25183	Outer membrane beta barrel domain
PF25184	YxzE-like putative bacteriocin
PF25185	Type I Thoeris inhibitor Tad3
PF25186	Type I Thoeris inhibitor Tad4
PF25187	CBASS inhibitor Acb3
PF25188	Type I Thoeris inhibitor Tad6
PF25189	Type II Thoeris inhibitor Tad8
PF25190	Type I Thoeris inhibitor Tad5
PF25191	Domain of unknown function (DUF7832)
PF25192	Diatom pyrenoid shell protein
PF25193	Diatom pyrenoid component 1 motif
PF25194	Diatom pyrenoid component 3
PF25195	Diatom pyrenoid component 2
PF25196	Diatom pyrenoid component 4 C-terminal motif
PF25197	Diatom pyrenoid component 4 N-terminal motif
PF25198	Spore germination protein N-terminal domain
PF25199	Novel STAND NTPase 5
PF25200	Family of unknown function (DUF7833)
PF25201	Novel STAND NTPase 6
PF25202	Family of unknown function (DUF7834)
PF25203	DAAF9 Pita bread like domain
PF25204	DAAF9 domain
PF25205	Domain of unknown function (DUF7835)
PF25206	Domain of unknown function (DUF7836)
PF25207	Domain of unknown function (DUF7837)
PF25208	Domain of unknown function (DUF7838)
PF25209	Phage capsid protein
PF25210	FKB95, Kelch-repeats domain
PF25211	Domain of unknown function (DUF7839)
PF25212	HVO_A0114
PF25213	HVO_A0261 N-terminal domain
PF25214	HVO_B0008 N-terminal
PF25215	HVO_B0008 C-terminal domain
PF25216	Volactin
PF25217	Crescentin, N-terminal segment
PF25218	Type VI secretion system effector TseH-like
PF25219	Zinc finger, Tenuivirus
PF25220	Sororin C-terminal region
PF25221	Lnb transmembrane domain
PF25222	Domain of unknown function (DUF7840)
PF25223	Domain of unknown function (DUF7841)
PF25224	Domain of unknown function (DUF7842)
PF25225	Domain of unknown function (DUF7843)
PF25226	Domain of unknown function (DUF7844)
PF25227	Domain of unknown function (DUF7845)
PF25228	Lips protein
PF25229	Salactin
PF25230	Domain of unknown function (DUF7846)
PF25231	Domain of unknown function (DUF7847)
PF25232	Domain of unknown function (DUF7848)
PF25233	Domain of unknown function (DUF7849)
PF25234	Periphilin C-terminal domain
PF25235	Domain of unknown function (DUF7850)
PF25236	Domain of unknown function (DUF7851)
PF25237	Mechanosensitive channel protein 2/3 domain
PF25238	OGFOD2-like domain
PF25239	Charged multivesicular body protein 7, winged helix domain
PF25240	PUB2-like, N-terminal domain
PF25241	LDLRAD1-like, C-terminal domain
PF25242	UBP8-like, ubiquitin-like domain
PF25243	E3 ubiquitin-protein ligase WAV3-like, C-terminal domain
PF25244	PML, C-terminal domain
PF25245	At1g68980, TPR repeats
PF25246	Nodulin N-terminal domain
PF25247	GLGC left-handed parallel beta-helix domain
PF25248	CFAP65, eight Ig-like domain
PF25249	CFAP65, seventh Ig-like domain
PF25250	Domain of unknown function (DUF7852)
PF25251	Family of unknown function (DUF7853)
PF25252	Family of unknown function (DUF7854)
